facility_id,facility_mw,cooling_type,utilization_pct,electricity_rate_usd_kwh,colocation_usd_kw_month,pue_realized,capex_usd_per_mw,stranded_capacity_pct,stranded_capacity_mw,loss_floor_usd_annual,loss_ceiling_usd_annual,loss_mid_usd_annual,p10_loss_usd,p50_loss_usd,p90_loss_usd,recoverable_value_usd,roi_months
DC-1511,6.6,hybrid,63.8,0.1318,190.59,1.287,13144821.77,9.42,0.622,2741154.32,1422563.76,2081859.04,1806026.29,1992835.19,2198031.06,1665487.23,3.6
DC-1512,14.08,air-cooled,61.9,0.1317,193.66,1.604,11281477.9,12.17,1.714,7468784.23,3983198.88,5725991.56,5427404.68,5799887.74,6119098.2,4580793.25,2.8
DC-1513,9.27,air-cooled,68.8,0.1228,157.03,1.585,10247455.9,12.7,1.177,4687098.01,2217891.72,3452494.86,3269582.71,3477766.36,3708268.09,2761995.89,3.0
DC-1514,3.69,air-cooled,63.5,0.1507,169.31,1.601,10078216.36,12.82,0.473,2059032.84,961003.56,1510018.2,1408579.93,1502666.6,1592983.16,1208014.56,2.7
DC-1515,15.39,air-cooled,62.2,0.1374,185.2,1.651,10978777.14,12.31,1.895,8388997.25,4211448.0,6300222.62,5926111.83,6306893.75,6666043.25,5040178.1,2.7
DC-1516,14.92,hybrid,85.9,0.1079,181.85,1.272,14398748.23,9.35,1.395,6140819.74,3044169.0,4592494.37,3830076.37,4233261.58,4708564.9,3673995.5,3.7
DC-1517,55.19,hybrid,86.7,0.1082,191.79,1.235,13486997.14,9.73,5.37,22380457.69,12358947.6,17369702.64,14641496.02,16174724.69,17731426.98,13895762.11,3.6
DC-1518,27.24,air-cooled,83.4,0.1024,181.88,1.654,10718524.64,12.91,3.517,13595216.94,7676063.52,10635640.23,9629735.1,10232885.19,10853542.69,8508512.18,2.9
DC-1519,7.25,air-cooled,78.3,0.131,202.97,1.675,10639847.49,12.04,0.873,3742178.71,2126313.72,2934246.22,2856087.66,3031683.86,3224969.14,2347396.98,2.8
DC-1520,72.48,air-cooled,73.1,0.1,179.18,1.615,11366061.65,12.82,9.292,36615418.5,19979286.72,28297352.61,25292054.89,26981886.93,28819797.5,22637882.09,2.9
DC-1521,43.68,air-cooled,66.0,0.1417,169.25,1.583,11480340.35,12.12,5.294,23908508.58,10752114.0,17330311.29,16537163.73,17586651.78,18680208.8,13864249.03,2.8
DC-1522,26.2,air-cooled,60.6,0.1465,168.05,1.51,10947925.77,12.69,3.325,14532630.02,6705195.0,10618912.51,9994456.92,10660840.76,11279245.96,8495130.01,2.8
DC-1523,13.72,air-cooled,76.4,0.1024,195.03,1.596,11197846.8,12.68,1.74,6820905.62,4072226.4,5446566.01,4970121.34,5320483.91,5641217.48,4357252.81,2.8
DC-1524,7.63,air-cooled,57.9,0.1163,184.44,1.581,10234281.62,12.85,0.98,3807288.86,2169014.4,2988151.63,2792828.14,2971769.39,3171314.99,2390521.3,2.9
DC-1525,12.21,air-cooled,60.1,0.1203,193.51,1.577,9980544.69,12.33,1.505,5839077.29,3494790.6,4666933.94,4603450.57,4935977.89,5239805.8,3733547.15,2.9
DC-1526,39.29,air-cooled,85.8,0.1377,193.2,1.597,10810492.56,12.67,4.978,21548348.87,11540995.2,16544672.04,15347302.27,16344036.75,17398361.1,13235737.63,2.7
DC-1527,74.27,air-cooled,94.8,0.1522,153.7,1.545,11570015.02,12.06,8.957,41480043.35,16520290.8,29000167.08,27952336.01,29658435.76,31533552.21,23200133.66,2.9
DC-1528,56.52,hybrid,76.7,0.0863,166.9,1.219,13656331.45,9.91,5.601,22159178.58,11217682.8,16688430.69,13649695.95,15108748.28,16553867.47,13350744.55,3.8
DC-1529,11.12,air-cooled,85.3,0.1136,168.69,1.583,10330033.88,12.6,1.401,5423079.58,2836016.28,4129547.93,3920416.28,4198827.44,4470656.42,3303638.34,3.0
DC-1530,6.71,liquid-cooled,69.0,0.1147,171.76,1.042,17298081.79,3.52,0.236,1154273.78,486424.32,820349.05,542317.27,831371.04,1108941.25,656279.24,9.2
DC-1531,18.41,air-cooled,55.9,0.092,177.69,1.583,10441120.35,12.51,2.303,8281634.81,4910640.84,6596137.82,6255801.54,6721967.34,7160609.76,5276910.26,3.1
DC-1532,4.0,air-cooled,79.3,0.1103,198.99,1.601,11534556.41,12.52,0.501,2059193.06,1196327.88,1627760.47,1490279.47,1590373.89,1688400.54,1302208.38,2.8
DC-1533,21.3,air-cooled,78.8,0.1286,201.98,1.65,10688177.58,12.58,2.68,11346945.73,6495676.8,8921311.26,8328147.64,8852266.06,9332111.14,7137049.01,2.7
DC-1534,14.61,air-cooled,72.9,0.1144,179.61,1.638,10557416.02,12.72,1.858,7408968.83,4004584.56,5706776.7,5260075.49,5648164.37,5963729.1,4565421.36,2.9
DC-1535,11.33,hybrid,69.1,0.0891,180.23,1.285,13538863.6,8.31,0.942,3778926.65,2037319.92,2908123.28,2841112.99,3130654.05,3453861.65,2326498.62,4.4
DC-1536,4.59,air-cooled,83.5,0.1775,173.42,1.543,10491567.34,12.96,0.595,2814748.72,1238218.8,2026483.76,1886452.9,2001393.81,2127809.2,1621187.01,2.5
DC-1537,24.8,liquid-cooled,60.2,0.1253,185.34,1.072,16386539.8,3.55,0.88,4239937.25,1957190.4,3098563.82,2038448.48,3069720.96,4267831.75,2478851.06,9.0
DC-1538,10.74,liquid-cooled,62.7,0.1222,187.04,1.098,17655632.44,4.1,0.44,2243494.94,987571.2,1615533.07,929318.75,1424987.73,1850221.96,1292426.46,7.5
DC-1539,6.45,air-cooled,59.9,0.098,196.1,1.584,10577574.01,12.67,0.817,3031400.33,1922564.4,2476982.37,2326506.49,2479710.84,2629004.38,1981585.9,2.9
DC-1540,1.65,air-cooled,73.0,0.1252,195.98,1.57,11418312.68,12.84,0.212,902972.33,498573.12,700772.72,631723.48,675516.3,718640.54,560618.18,2.6
DC-1541,16.09,hybrid,58.9,0.1167,149.47,1.215,11995396.61,9.97,1.604,6267996.47,2876998.56,4572497.51,3966852.44,4406820.82,4818122.6,3657998.01,4.0
DC-1542,67.88,air-cooled,63.8,0.0822,181.71,1.629,10982629.21,12.14,8.241,29779525.62,17969665.32,23874595.47,22987237.49,24395783.96,26167884.49,19099676.38,3.2
DC-1543,62.12,hybrid,63.5,0.0986,204.76,1.25,14059958.47,9.05,5.622,23635479.53,13813928.64,18724704.08,16438535.95,18190784.07,19997045.62,14979763.26,3.7
DC-1544,11.41,air-cooled,68.9,0.1359,177.43,1.543,11442456.89,12.25,1.398,6122799.64,2976565.68,4549682.66,4319927.55,4612337.52,4937949.28,3639746.13,2.8
DC-1545,10.16,air-cooled,54.2,0.1589,201.09,1.61,10434924.35,12.73,1.293,5895994.81,3120112.44,4508053.62,4265723.87,4509553.52,4776388.28,3606442.9,2.5
DC-1546,23.93,air-cooled,73.0,0.1273,179.4,1.528,11545440.44,12.53,2.998,12800259.52,6454094.4,9627176.96,8923237.61,9498501.67,10086655.59,7701741.57,2.8
DC-1547,7.4,air-cooled,87.0,0.1421,186.62,1.624,10789277.78,12.67,0.938,4145177.7,2100594.72,3122886.21,2894829.58,3055529.52,3268695.95,2498308.97,2.7
DC-1548,20.94,liquid-cooled,73.6,0.1169,166.95,1.119,17709183.53,2.57,0.538,2733728.29,1077829.2,1905778.74,1704838.95,2597216.68,3451693.62,1524622.99,12.4
DC-1549,30.35,air-cooled,90.5,0.1183,167.51,1.545,11525777.67,12.94,3.927,16345665.42,7893741.24,12119703.33,10865009.12,11548424.29,12300344.28,9695762.66,2.8
DC-1550,43.88,hybrid,88.0,0.1418,194.88,1.279,13207994.57,8.13,3.567,16136547.19,8341643.52,12239095.36,12286907.83,13572374.81,14907748.45,9791276.29,4.0
DC-1551,15.18,air-cooled,81.3,0.1533,197.23,1.62,10810995.89,12.42,1.885,8629444.22,4461342.6,6545393.41,6201116.11,6566340.77,6958857.32,5236314.73,2.6
DC-1552,13.97,air-cooled,72.9,0.146,184.4,1.578,10649659.96,12.68,1.771,7765463.06,3918868.8,5842165.93,5451570.69,5815053.18,6147137.05,4673732.74,2.7
DC-1553,8.15,air-cooled,72.3,0.0987,165.59,1.511,10489096.39,12.99,1.059,3851942.04,2104317.72,2978129.88,2758566.82,2942738.98,3150953.34,2382503.9,3.1
DC-1554,8.49,air-cooled,81.2,0.1187,184.66,1.555,11443034.05,12.83,1.089,4530026.68,2413136.88,3471581.78,3119917.67,3338613.82,3542373.01,2777265.42,2.8
DC-1555,13.72,air-cooled,67.3,0.1256,202.86,1.519,11295311.31,12.87,1.766,7384278.31,4299009.12,5841643.72,5339341.59,5654141.78,6024677.99,4673314.98,2.6
DC-1556,22.06,air-cooled,49.4,0.1148,210.14,1.53,11074971.04,12.52,2.762,11047298.77,6964880.16,9006089.46,8620222.34,9089466.48,9692522.09,7204871.57,2.8
DC-1557,34.15,hybrid,77.9,0.1278,179.25,1.221,14058662.0,8.81,3.009,13513692.21,6472359.0,9993025.6,8998066.98,9962477.53,11015759.97,7994420.48,3.8
DC-1558,8.65,air-cooled,58.4,0.1364,159.1,1.632,10193189.18,12.25,1.06,4468081.47,2023752.0,3245916.74,3179378.82,3361333.72,3564678.23,2596733.39,3.0
DC-1559,54.28,air-cooled,60.5,0.1401,196.61,1.545,11240203.76,12.56,6.818,29958049.81,16085843.76,23021946.78,21516891.56,22821352.24,24113036.28,18417557.42,2.7
DC-1560,13.24,hybrid,72.0,0.1537,179.86,1.231,13771923.36,9.22,1.221,5760507.77,2635308.72,4197908.24,3697569.38,4067487.54,4480073.34,3358326.59,3.5
DC-1561,16.17,hybrid,70.9,0.1134,198.15,1.295,13954228.87,9.6,1.552,6809201.39,3690345.6,5249773.5,4378748.2,4822361.66,5297160.32,4199818.8,3.5
DC-1562,9.05,air-cooled,55.1,0.0927,188.22,1.68,11072557.57,12.46,1.128,4314392.12,2547745.92,3431069.02,3185033.65,3379871.76,3615790.73,2744855.22,3.0
DC-1563,2.36,air-cooled,74.0,0.1272,170.75,1.611,10729418.87,12.02,0.284,1186951.73,581916.0,884433.86,862937.4,922073.95,981860.42,707547.09,3.0
DC-1564,33.36,liquid-cooled,83.6,0.1577,184.87,1.081,17890314.62,3.27,1.091,5966651.82,2420318.04,4193484.93,2879355.11,4289968.7,5872552.04,3354787.94,8.9
DC-1565,29.65,hybrid,58.5,0.1105,203.63,1.269,13275768.02,9.03,2.677,11185944.33,6541410.12,8863677.22,8035105.15,8908525.11,9740853.0,7090941.78,3.8
DC-1566,13.13,air-cooled,87.3,0.1337,181.76,1.569,12007669.25,12.8,1.681,7574590.32,3666462.72,5620526.52,5002266.26,5294293.32,5605916.75,4496421.22,2.6
DC-1567,17.35,air-cooled,53.3,0.1339,168.48,1.561,11839717.29,12.92,2.242,10003905.1,4532785.92,7268345.51,6431063.06,6843606.16,7282987.64,5814676.41,2.7
DC-1568,24.85,hybrid,97.4,0.1238,160.17,1.253,12504386.17,8.2,2.038,8432461.3,3917117.52,6174789.41,6360331.73,7065436.23,7787144.09,4939831.53,4.5
DC-1569,4.71,air-cooled,67.1,0.1201,172.42,1.592,11609822.85,12.49,0.588,2501860.99,1216595.52,1859228.26,1706021.18,1816928.03,1925566.77,1487382.61,2.8
DC-1570,10.77,liquid-cooled,73.7,0.1015,177.85,1.118,18497380.1,4.46,0.48,2450201.97,1024416.0,1737308.98,860387.81,1275634.97,1750003.29,1389847.18,7.0
DC-1571,31.04,air-cooled,49.3,0.0744,196.3,1.63,9632479.4,12.86,3.992,12785951.64,9403555.2,11094753.42,10746269.04,11456491.1,12216239.02,8875802.74,3.1
DC-1572,6.03,hybrid,71.3,0.0978,167.19,1.246,14592827.79,9.16,0.552,2379304.21,1107466.56,1743385.38,1491335.81,1658150.06,1819564.58,1394708.3,3.9
DC-1573,20.8,air-cooled,74.7,0.1122,207.31,1.566,11198073.64,12.03,2.502,10077151.18,6224275.44,8150713.31,7894394.7,8403252.61,8928859.12,6520570.65,2.9
DC-1574,5.56,air-cooled,71.0,0.1419,163.94,1.547,10743699.79,12.55,0.698,3008713.58,1373161.44,2190937.51,2075910.23,2209051.62,2335278.48,1752750.01,2.9
DC-1575,23.88,liquid-cooled,65.2,0.1179,218.97,1.091,17597577.17,4.86,1.161,5848377.13,3050690.04,4449533.58,2070815.19,3177178.64,4237008.85,3559626.86,6.0
DC-1576,15.98,air-cooled,60.6,0.1096,209.88,1.662,10987165.05,12.39,1.98,7993798.14,4986748.8,6490273.47,6133670.41,6485514.2,6857921.7,5192218.78,2.8
DC-1577,4.52,air-cooled,85.6,0.1022,186.12,1.558,10487002.74,12.87,0.582,2168112.28,1299862.08,1733987.18,1604881.9,1715060.57,1841306.31,1387189.74,2.9
DC-1578,41.75,air-cooled,72.4,0.1331,159.28,1.515,10399744.36,12.28,5.127,20905227.87,9799542.72,15352385.3,15097341.21,16054209.66,17179045.51,12281908.24,3.1
DC-1579,9.14,air-cooled,90.5,0.1472,183.17,1.588,11858071.85,12.27,1.121,5249428.46,2464002.84,3856715.65,3589507.09,3826491.39,4060153.93,3085372.52,2.7
DC-1580,8.6,air-cooled,65.7,0.1413,178.2,1.542,11093486.39,12.03,1.035,4526974.38,2213244.0,3370109.19,3311351.3,3530486.11,3716462.43,2696087.35,2.9
DC-1581,19.31,hybrid,66.8,0.1321,164.89,1.215,14226226.85,9.63,1.86,8495321.01,3680344.8,6087832.9,5050452.52,5558146.3,6127148.61,4870266.32,3.6
DC-1582,41.22,air-cooled,81.8,0.0905,188.37,1.656,11390070.84,12.3,5.07,19488930.6,11460430.8,15474680.7,14384429.47,15294958.69,16367216.04,12379744.56,3.0
DC-1583,7.3,air-cooled,52.5,0.113,171.65,1.501,10625663.81,12.96,0.946,3639326.8,1948570.8,2793948.8,2599113.88,2773537.18,2954476.68,2235159.04,2.9
DC-1584,17.28,air-cooled,57.4,0.1589,173.28,1.611,11043265.08,12.9,2.229,10468527.28,4634893.44,7551710.36,6814482.16,7256281.33,7700239.07,6041368.29,2.6
DC-1585,23.17,hybrid,85.2,0.1424,180.94,1.287,13538041.96,9.28,2.15,9919860.18,4668252.0,7294056.09,6351555.42,7046492.41,7744726.99,5835244.87,3.6
DC-1586,28.63,hybrid,57.9,0.0892,175.38,1.289,13959310.09,9.28,2.657,10918365.45,5591815.92,8255090.68,7083097.58,7882304.91,8645479.62,6604072.54,3.9
DC-1587,18.94,air-cooled,50.2,0.1189,215.17,1.593,11116553.8,12.02,2.277,9403000.7,5879305.08,7641152.89,7446107.78,7902965.32,8370060.04,6112922.31,2.8
DC-1588,12.26,air-cooled,94.4,0.1273,175.96,1.531,11446571.62,12.42,1.523,6474233.66,3215844.96,4845039.31,4531100.6,4845418.79,5117810.4,3876031.45,2.8
DC-1589,8.48,liquid-cooled,55.3,0.1048,190.61,1.044,17979745.45,4.13,0.35,1733879.39,800562.0,1267220.69,700351.74,1035879.74,1423858.61,1013776.55,7.5
DC-1590,17.62,air-cooled,74.2,0.0738,186.18,1.597,10676735.6,12.47,2.197,7480893.2,4908449.52,6194671.36,5919997.36,6269166.72,6706122.49,4955737.09,3.2
DC-1591,6.97,liquid-cooled,72.8,0.122,189.29,1.108,18211532.55,2.62,0.183,957300.27,415680.84,686490.56,600577.87,921632.46,1197714.29,549192.45,11.4
DC-1592,1.59,liquid-cooled,38.3,0.1042,190.44,1.063,17189086.88,6.91,0.11,526910.45,251380.8,389145.62,265153.19,334798.73,397097.38,311316.5,4.6
DC-1593,23.32,hybrid,68.8,0.1043,197.22,1.265,13607279.37,9.87,2.302,9621507.98,5448005.28,7534756.63,6244973.56,6830307.75,7507937.3,6027805.3,3.5
DC-1594,33.89,air-cooled,77.4,0.1129,188.0,1.495,10712038.6,12.62,4.277,16505002.89,9648912.0,13076957.44,12463694.87,13276363.93,14142276.29,10461565.95,2.9
DC-1595,2.48,hybrid,76.3,0.1173,187.37,1.316,13527657.92,9.6,0.238,1037299.05,535128.72,786213.88,660018.41,730839.36,805761.49,628971.1,3.5
DC-1596,7.33,hybrid,82.8,0.1198,184.88,1.211,13247018.99,8.19,0.6,2528798.12,1331136.0,1929967.06,1940486.17,2149580.77,2356123.39,1543973.65,4.3
DC-1597,26.99,hybrid,67.4,0.1023,181.92,1.218,13837886.7,8.17,2.205,9187340.2,4813603.2,7000471.7,6900742.45,7610169.05,8406642.48,5600377.36,4.3
DC-1598,85.28,air-cooled,80.6,0.1156,170.32,1.58,11150358.97,12.88,10.984,44791148.66,22449538.56,33620343.61,30265468.25,32392067.92,34439314.3,26896274.89,2.9
DC-1599,16.72,air-cooled,63.7,0.0849,183.09,1.603,11066155.94,12.78,2.137,7802903.62,4695159.96,6249031.79,5689966.05,6079310.84,6459143.59,4999225.43,3.0
DC-1600,9.19,air-cooled,55.1,0.1262,187.62,1.589,11382056.84,12.33,1.133,4856043.14,2550881.52,3703462.33,3485000.48,3697249.36,3911840.18,2962769.86,2.8
DC-1601,14.21,air-cooled,56.4,0.0629,190.03,1.612,11717802.87,12.07,1.715,5989079.51,3910817.4,4949948.46,4754213.55,4999769.08,5295412.31,3959958.77,3.2
DC-1602,49.4,hybrid,54.5,0.1142,186.7,1.29,14260046.44,8.56,4.229,18858823.27,9474651.6,14166737.43,13030252.48,14353687.51,15855170.1,11333389.94,3.9
DC-1603,9.81,air-cooled,84.1,0.1384,180.51,1.598,10821659.43,12.19,1.196,5193274.6,2590679.52,3891977.06,3764446.06,3999240.1,4240134.54,3113581.65,2.8
DC-1604,8.68,air-cooled,53.8,0.0988,183.14,1.569,11130454.47,12.44,1.08,4137895.8,2373494.4,3255695.1,3047372.16,3266458.23,3471106.5,2604556.08,3.0
DC-1605,11.18,air-cooled,75.3,0.1343,175.7,1.553,11570050.18,12.32,1.377,6056289.82,2903266.8,4479778.31,4237232.45,4487030.39,4745503.69,3583822.65,2.8
DC-1606,7.67,hybrid,68.8,0.1431,188.7,1.211,13397456.45,9.77,0.749,3366956.38,1696035.6,2531495.99,2140612.95,2362285.38,2586257.9,2025196.79,3.4
DC-1607,18.14,liquid-cooled,70.8,0.06,180.68,1.085,17346087.3,3.11,0.564,2495678.61,1222842.24,1859260.42,1400529.6,2141903.57,2833460.53,1487408.34,11.0
DC-1608,60.32,air-cooled,88.4,0.117,186.71,1.579,11083686.15,12.97,7.824,31932795.73,17529828.48,24731312.1,22403292.8,23846818.06,25314368.75,19785049.68,2.7
DC-1609,21.29,air-cooled,66.7,0.0625,199.01,1.621,11572072.51,12.43,2.646,9152697.02,6318965.52,7735831.27,7263054.42,7646329.22,8087651.6,6188665.02,3.1
DC-1610,13.44,air-cooled,79.3,0.1176,173.36,1.537,11221339.93,12.12,1.629,6641451.91,3388841.28,5015146.6,4854764.75,5165156.35,5503668.32,4012117.28,3.0
DC-1611,13.02,hybrid,72.5,0.1199,192.95,1.261,12721165.94,9.87,1.285,5334528.86,2975289.0,4154908.93,3481803.66,3886044.59,4272707.57,3323927.14,3.5
DC-1612,4.71,hybrid,70.2,0.0703,184.5,1.272,13558691.93,9.38,0.442,1677998.13,978588.0,1328293.06,1157682.43,1278139.2,1400100.04,1062634.45,4.0
DC-1613,33.33,liquid-cooled,98.0,0.1585,214.32,1.043,17510408.27,4.98,1.66,8863346.92,4269254.4,6566300.66,3099351.39,4699665.38,6264229.37,5253040.53,5.7
DC-1614,15.45,air-cooled,54.7,0.1257,180.76,1.579,11097404.02,12.95,2.001,8413759.2,4340409.12,6377084.16,5762523.76,6093514.81,6544007.83,5101667.33,2.7
DC-1615,14.23,liquid-cooled,87.5,0.103,194.43,1.072,19328058.32,3.43,0.488,2568035.7,1138582.08,1853308.89,1151197.07,1797760.14,2409026.32,1482647.11,8.6
DC-1616,211.56,air-cooled,79.9,0.1493,184.23,1.66,10412225.59,12.17,25.747,115472431.66,56920437.72,86196434.69,83416443.98,89101577.47,94714433.28,68957147.75,2.8
DC-1617,20.88,hybrid,66.2,0.0841,163.18,1.212,13684519.45,9.35,1.952,7678980.83,3822328.32,5750654.58,5005037.96,5557653.86,6066168.46,4600523.66,4.1
DC-1618,9.01,air-cooled,91.6,0.0954,176.19,1.648,11277455.73,12.54,1.13,4388175.86,2389136.4,3388656.13,3105349.79,3310300.71,3533192.17,2710924.9,3.0
DC-1619,11.69,liquid-cooled,49.8,0.074,197.21,1.104,17154125.7,4.4,0.514,2327230.04,1216391.28,1771810.66,985081.12,1488872.6,1921493.33,1417448.53,7.4
DC-1620,41.21,air-cooled,65.7,0.156,177.51,1.557,10581156.05,12.34,5.085,22776233.32,10831660.2,16803946.76,16402593.47,17345120.73,18349776.93,13443157.41,2.8
DC-1621,18.0,hybrid,57.5,0.1266,150.7,1.236,13194730.85,8.61,1.55,6669504.59,2803020.0,4736262.3,4483481.19,4994887.45,5502149.37,3789009.84,4.3
DC-1622,5.2,hybrid,76.9,0.1332,183.53,1.26,13664754.19,8.12,0.422,1901878.19,929395.92,1415637.06,1413998.34,1562711.14,1718841.21,1132509.65,4.1
DC-1623,34.31,air-cooled,58.6,0.126,167.61,1.597,10982325.62,12.77,4.381,18414313.5,8811592.92,13612953.21,12514873.86,13335442.56,14153022.73,10890362.57,2.8
DC-1624,9.64,air-cooled,77.2,0.1315,185.98,1.619,10521334.48,12.69,1.223,5140348.73,2729442.48,3934895.61,3666842.56,3910880.08,4156033.3,3147916.49,2.8
DC-1625,73.6,liquid-cooled,69.8,0.1216,207.27,1.091,17907949.93,2.02,1.487,7645700.59,3698525.88,5672113.24,6382326.69,9420819.92,12814730.57,4537690.59,14.6
DC-1626,39.02,air-cooled,66.2,0.1254,195.54,1.585,11085363.75,12.18,4.753,19984192.91,11152819.44,15568506.18,15006437.86,15955721.19,16943789.72,12454804.94,2.8
DC-1627,11.5,air-cooled,76.7,0.1222,207.05,1.619,11674143.83,12.37,1.423,6157816.71,3535585.8,4846701.26,4495706.07,4764768.92,5078545.62,3877361.01,2.7
DC-1628,45.82,air-cooled,68.8,0.1078,175.58,1.539,10857303.78,12.74,5.837,22566162.84,12298325.52,17432244.18,16264071.48,17355011.26,18399173.81,13945795.34,3.0
DC-1629,17.36,hybrid,58.9,0.1191,181.85,1.214,14170133.02,9.75,1.693,7475448.4,3694464.6,5584956.5,4584471.64,5115913.01,5584791.67,4467965.2,3.5
DC-1630,32.53,air-cooled,98.0,0.1255,168.33,1.548,10390071.72,12.5,4.066,16307689.44,8213157.36,12260423.4,11857391.02,12610584.66,13452993.68,9808338.72,3.0
DC-1631,24.23,air-cooled,66.2,0.1222,173.74,1.617,10793977.74,12.79,3.099,12797676.71,6461043.12,9629359.92,8864379.36,9397992.58,9945089.18,7703487.94,2.8
DC-1632,8.36,air-cooled,45.4,0.0904,170.1,1.51,10475431.46,13.67,1.143,4027530.46,2333091.6,3180311.03,3035265.51,3218492.7,3435893.77,2544248.82,3.0
DC-1633,9.83,air-cooled,61.9,0.0931,164.4,1.57,10263923.02,12.34,1.213,4319850.47,2393006.4,3356428.43,3292743.34,3515749.15,3733379.07,2685142.74,3.3
DC-1634,37.49,liquid-cooled,56.8,0.1417,204.49,1.074,17671616.49,2.65,0.993,5223352.28,2436702.84,3830027.56,3256141.21,5114089.46,6708148.31,3064022.05,11.0
DC-1635,12.58,liquid-cooled,81.9,0.1139,152.62,1.068,17094593.13,4.07,0.512,2490578.14,937697.28,1714137.71,996566.89,1566541.13,2015531.86,1371310.17,8.3
DC-1636,11.91,hybrid,75.9,0.1317,204.55,1.209,13571379.67,8.2,0.977,4309230.23,2398144.2,3353687.22,3339301.49,3697997.77,4070724.64,2682949.78,4.0
DC-1637,7.66,air-cooled,76.8,0.0982,202.69,1.623,11770882.48,12.74,0.976,3915622.4,2373905.28,3144763.84,2794491.68,2978069.86,3166605.06,2515811.07,2.7
DC-1638,23.08,liquid-cooled,67.6,0.0905,191.5,1.088,16703073.63,3.91,0.902,4126053.58,2072796.0,3099424.79,1860938.97,2766596.3,3776984.76,2479539.83,8.4
DC-1639,85.63,air-cooled,68.6,0.1031,167.28,1.689,11198901.53,12.87,11.021,44239123.54,22123114.56,33181119.05,29389237.9,31422514.87,33510653.97,26544895.24,2.9
DC-1640,7.0,air-cooled,67.5,0.1155,160.27,1.646,10935279.49,12.1,0.847,3468847.83,1628984.28,2548916.06,2451981.53,2615170.86,2775246.35,2039132.85,3.1
DC-1641,16.77,liquid-cooled,71.0,0.1067,175.77,1.038,17351814.4,4.97,0.833,4020198.82,1756996.92,2888597.87,1402963.81,2123150.0,2760710.47,2310878.3,6.5
DC-1642,50.9,hybrid,82.0,0.1459,193.38,1.256,12468120.17,9.37,4.769,20868986.02,11066750.64,15967868.33,14353378.02,15937022.83,17406554.36,12774294.66,3.6
DC-1643,15.43,hybrid,76.0,0.1236,184.05,1.253,13984414.87,9.93,1.532,6839332.04,3383575.2,5111453.62,4131264.18,4556423.32,5040589.64,4089162.9,3.4
DC-1644,23.62,hybrid,78.0,0.157,168.35,1.253,12786927.39,9.49,2.242,10234316.08,4529288.4,7381802.24,6470796.76,7171445.92,7883533.28,5905441.79,3.6
DC-1645,7.03,air-cooled,78.0,0.1281,201.22,1.587,11289670.41,12.89,0.906,3886447.56,2187663.84,3037055.7,2748338.11,2921912.32,3088808.04,2429644.56,2.6
DC-1646,23.17,air-cooled,82.6,0.0717,209.27,1.664,10990319.96,12.81,2.968,10350717.21,7453360.32,8902038.76,8154455.6,8608102.86,9144948.3,7121631.01,2.9
DC-1647,14.16,hybrid,75.5,0.1411,180.6,1.243,13207732.27,8.36,1.184,5294190.13,2565964.8,3930077.46,3844450.02,4269250.54,4699538.01,3144061.97,4.1
DC-1648,36.18,air-cooled,76.3,0.0898,185.64,1.573,11195073.05,12.56,4.544,16927269.34,10122577.92,13524923.63,12508915.03,13405389.61,14306655.52,10819938.9,3.0
DC-1649,42.52,air-cooled,86.3,0.1246,161.37,1.564,10392666.71,12.93,5.498,22083163.63,10646547.12,16364855.38,15266963.33,16229067.35,17393494.26,13091884.3,2.9
DC-1650,130.54,hybrid,64.0,0.1045,177.78,1.308,14357741.37,8.67,11.318,49663141.28,24145368.48,36904254.88,33552597.4,36715109.31,40539088.52,29523403.9,4.0
DC-1651,26.15,hybrid,61.7,0.1629,191.66,1.219,13723406.33,9.64,2.521,12073481.76,5798098.32,8935790.04,7480446.23,8287649.19,9171153.46,7148632.03,3.3
DC-1652,21.34,air-cooled,57.8,0.1488,189.32,1.537,11706816.88,12.61,2.691,12391990.2,6113521.44,9252755.82,8479942.34,8979147.89,9518437.67,7402204.66,2.6
DC-1653,19.21,hybrid,74.2,0.1052,176.38,1.278,14189584.29,8.05,1.546,6695701.9,3272201.76,4983951.83,4877994.39,5367594.43,5978936.17,3987161.46,4.3
DC-1654,12.4,hybrid,49.8,0.1175,179.89,1.259,13079265.96,9.35,1.159,4870572.61,2501910.12,3686241.36,3259013.36,3612523.55,3949455.76,2948993.09,3.8
DC-1655,21.56,hybrid,77.5,0.1249,177.29,1.307,12497802.69,9.36,2.018,8490350.68,4293254.64,6391802.66,5761954.79,6337694.53,6905782.54,5113442.13,3.8
DC-1656,12.98,air-cooled,70.7,0.1373,179.82,1.527,10912932.49,12.64,1.641,6993437.07,3541015.44,5267226.26,4934390.71,5290040.69,5610743.35,4213781.01,2.8
DC-1657,18.82,air-cooled,85.6,0.1206,190.35,1.612,9673394.3,12.84,2.416,9308003.0,5518627.2,7413315.1,7076260.3,7539153.6,8018671.1,5930652.08,2.9
DC-1658,47.19,air-cooled,63.9,0.0995,154.49,1.597,11671349.33,12.22,5.767,22985014.75,10691325.96,16838170.36,15706590.7,16762127.3,17870067.32,13470536.29,3.2
DC-1659,7.35,air-cooled,69.6,0.1056,182.88,1.533,10797701.49,12.23,0.899,3432022.46,1972909.44,2702465.95,2630416.39,2803878.44,2995699.08,2161972.76,3.1
